,phrase,label,sentiment,subjectivity,language,count
April 30-May 10,April 30-May 10,DATE,,,en,1.0
25th,25th,ORDINAL,,,en,1.0
Take Flight,Take Flight,WORK_OF_ART,,,en,1.0
THURSDAY,THURSDAY,DATE,,,en,1.0
April 2nd 2026,April 2nd 2026,DATE,,,en,1.0
EV SUV,EV SUV,PRODUCT,,,en,1.0
420,420,CARDINAL,,,en,1.0
483 km,483 km,QUANTITY,,,en,1.0
Highlander,Highlander,PRODUCT,,,en,1.0
40 years,40 years,DATE,,,en,1.0
Sydney Airport,Sydney Airport,FAC,,,en,1.0
North Face,North Face,FAC,,,en,1.0
Finding Harry:,Finding Harry:,WORK_OF_ART,,,en,1.0
Texans,Texans,NORP,,,en,1.0
Artemis II,Artemis II,PRODUCT,,,en,1.0
South Australians,South Australians,NORP,,,en,1.0
Ethiopian,Ethiopian,NORP,,,en,1.0
the regular season,the regular season,DATE,,,en,1.0
4-6 weeks,4-6 weeks,DATE,,,en,1.0
Almost one hundred years later,Almost one hundred years later,DATE,,,en,1.0
78,78,CARDINAL,,,en,1.0
Eastern,Eastern,NORP,,,en,1.0
Easter Saturday,Easter Saturday,DATE,,,en,1.0
Sunday morning,Sunday morning,TIME,,,en,1.0
between 30 and 50 millimetres,between 30 and 50 millimetres,CARDINAL,,,en,1.0
Monday 13 to Wednesday 15 April 2026,Monday 13 to Wednesday 15 April 2026,DATE,,,en,1.0
"April 03, 2026 (GLOBE NEWSWIRE)","April 03, 2026 (GLOBE NEWSWIRE)",DATE,,,en,1.0
Hotel Moment,Hotel Moment,WORK_OF_ART,,,en,1.0
the Iran War,the Iran War,EVENT,,,en,1.0
Hills Shire,Hills Shire,NORP,,,en,1.0
49,49,CARDINAL,,,en,1.0
as much as $800 million,as much as $800 million,MONEY,,,en,1.0
1.8%,1.8%,PERCENT,,,en,1.0
12.9 miles,12.9 miles,QUANTITY,,,en,1.0
6:30pm,6:30pm,DATE,,,en,1.0
about 45 minutes,about 45 minutes,TIME,,,en,1.0
late-January,late-January,DATE,,,en,1.0
2026-04-14,2026-04-14,DATE,,,en,1.0
4.5,4.5,CARDINAL,,,en,1.0
later this week,later this week,DATE,,,en,1.0
second-half,second-half,DATE,,,en,1.0
the upcoming weekend,the upcoming weekend,DATE,,,en,1.0
billions of tonnes,billions of tonnes,QUANTITY,,,en,1.0
three months ago,three months ago,DATE,,,en,1.0
about 5%,about 5%,PERCENT,,,en,1.0
between Friday and Sunday,between Friday and Sunday,DATE,,,en,1.0
mid-April 2026,mid-April 2026,DATE,,,en,1.0
Palestinians,Palestinians,NORP,,,en,1.0
April 13,April 13,DATE,,,en,1.0
Old Trafford,Old Trafford,FAC,,,en,1.0
108,108,CARDINAL,,,en,1.0
Derbys,Derbys,FAC,,,en,1.0
245 billion,245 billion,CARDINAL,,,en,1.0
20.4 kilometers,20.4 kilometers,QUANTITY,,,en,1.0
12.7 miles,12.7 miles,QUANTITY,,,en,1.0
42 miles,42 miles,QUANTITY,,,en,1.0
2012,2012,DATE,,,en,1.0
the start of the weekend,the start of the weekend,DATE,,,en,1.0
This summer,This summer,DATE,,,en,1.0
April days,April days,DATE,,,en,1.0
South African,South African,NORP,,,en,1.0
six consecutive seasons,six consecutive seasons,DATE,,,en,1.0
the past three years,the past three years,DATE,,,en,1.0
Martian,Martian,NORP,,,en,1.0
47k miles,47k miles,QUANTITY,,,en,1.0
October,October,DATE,,,en,1.0
more than 130 million,more than 130 million,CARDINAL,,,en,1.0
eight years,eight years,DATE,,,en,1.0
173mph,173mph,QUANTITY,,,en,1.0
just hours,just hours,TIME,,,en,1.0
Tens of Millions,Tens of Millions,CARDINAL,,,en,1.0
Vortec,Vortec,PRODUCT,,,en,1.0
thousands of acres,thousands of acres,QUANTITY,,,en,1.0
58,58,CARDINAL,,,en,1.0
45 miles,45 miles,QUANTITY,,,en,1.0
hundreds of billions of tonnes,hundreds of billions of tonnes,MONEY,,,en,1.0
the Indiana Fever,the Indiana Fever,EVENT,,,en,1.0
Economic civil war,Economic civil war,EVENT,,,en,1.0
nearly 250 million acres,nearly 250 million acres,QUANTITY,,,en,1.0
14.6 million,14.6 million,MONEY,,,en,1.0
11M.,11M.,MONEY,,,en,1.0
Easter,Easter,EVENT,-0.07352941176470588,0.22058823529411764,en,1.0
the past 10 years,the past 10 years,DATE,,,en,1.0
season this summer,season this summer,DATE,,,en,1.0
Hawke's Bay,Hawke's Bay,FAC,,,en,1.0
Sunday evening,Sunday evening,TIME,,,en,1.0
32-Foot,32-Foot,CARDINAL,,,en,1.0
"4,000 miles","4,000 miles",QUANTITY,,,en,1.0
multibillion dollar,multibillion dollar,MONEY,,,en,1.0
the past season,the past season,DATE,,,en,1.0
next winter,next winter,DATE,,,en,1.0
Nov. 6,Nov. 6,DATE,,,en,1.0
Grammy,Grammy,PRODUCT,,,en,1.0
Asteroids Could Have Kickstarted Life on Our Planet,Asteroids Could Have Kickstarted Life on Our Planet,WORK_OF_ART,,,en,1.0
Doomsday,Doomsday,DATE,,,en,1.0
8m,8m,QUANTITY,,,en,1.0
the new week,the new week,DATE,,,en,1.0
another severe year,another severe year,DATE,,,en,1.0
May - November 2022,May - November 2022,DATE,,,en,1.0
45,45,CARDINAL,,,en,1.0
Belgian,Belgian,NORP,,,en,1.0
Two hundred and seventy,Two hundred and seventy,CARDINAL,,,en,1.0
Tasman,Tasman,NORP,,,en,1.0
Rainy start to week,Rainy start to week,DATE,,,en,1.0
92,92,CARDINAL,,,en,1.0
Bollywood,Bollywood,NORP,1.0,1.0,en,1.0
Her Voice Was A Pillar Of Indian Cinema,Her Voice Was A Pillar Of Indian Cinema,WORK_OF_ART,,,en,1.0
the first 40 years,the first 40 years,DATE,,,en,1.0
the High Seas Treaty,the High Seas Treaty,LAW,,,en,1.0
The Meaning of It All: Thoughts of a Citizen-Scientist,The Meaning of It All: Thoughts of a Citizen-Scientist,WORK_OF_ART,,,en,1.0
686,686,MONEY,,,en,1.0
Week 2,Week 2,DATE,,,en,1.0
10 AM to 3 PM,10 AM to 3 PM,TIME,,,en,1.0
3.6,3.6,CARDINAL,,,en,1.0
754,754,CARDINAL,,,en,1.0
Porsche 911,Porsche 911,LAW,,,en,1.0
911 Turbo 3.6,911 Turbo 3.6,PRODUCT,,,en,1.0
Porsche,Porsche,EVENT,,,en,1.0
"January 19, 2026","January 19, 2026",DATE,,,en,1.0
675,675,MONEY,,,en,1.0
11.4m,11.4m,QUANTITY,,,en,1.0
125km/h,125km/h,QUANTITY,,,en,1.0
"June 18, 2026 /PRNewswire/","June 18, 2026 /PRNewswire/",DATE,,,en,1.0
